YEAR,CRUISE,DoY,LONGITUDE,LATITUDE,SST,SALINITY,fCO2_atm,fCO2_sw,pH
1995.785688,AMT1,287.5618571,-37.2469,-23.50544286,23.34857143,36.88942857,368.3714286,353.7142857,8.1017
1995.786484,AMT1,287.8532857,-37.72542857,-24.5103,23.03142857,36.8451,365.8571429,352.6428571,8.1029
1995.787224,AMT1,288.124,-38.51283333,-25.49816667,22.63166667,36.78838333,365.4,346.5,8.1092
1995.788022,AMT1,288.416125,-39.5076375,-26.4880875,22.12,36.6858625,366.775,342.475,8.1133
1995.78899,AMT1,288.7702222,-40.4685,-27.45905556,21.75888889,36.51405556,370.7,346.1111111,8.109
1995.789901,AMT1,289.1037143,-41.53758571,-28.53982857,19.50142857,35.94078571,368.6857143,333.3714286,8.1211
1995.790697,AMT1,289.3951429,-42.57977143,-29.54627143,19.25571429,35.94331429,367.8714286,332.1571429,8.1226
1995.79155,AMT1,289.707125,-43.571275,-30.452725,19.26125,35.99955,367.9875,333,8.1221
1995.792503,AMT1,290.056,-44.76888571,-31.5475,18.47285714,35.99631429,364.5142857,327.6142857,8.1285
1995.793372,AMT1,290.37425,-45.8222875,-32.586725,16.9125,35.885025,362.15,325.9125,8.1309
1995.794908,AMT1,290.9364211,-47.63866316,-33.51671579,17.83052632,35.88148947,366.3,327.2263158,8.1288
1995.797014,AMT1,291.7072222,-51.88486111,-34.45085556,16.16166667,34.37346667,367.8222222,319.3166667,8.1301
1995.805723,AMT1,294.8948,-55.21732,-36.509,13.07,33.33472,371.76,335.08,8.1081
1995.806237,AMT1,295.08275,-55.2685,-37.54075,9.6,33.7172,366.15,348.65,8.0946
1995.806695,AMT1,295.25025,-55.417325,-38.449975,7.8175,33.88145,364.05,287.325,8.1673
1995.807204,AMT1,295.4366,-55.5455,-39.48328,6.838,33.93532,365.12,265.78,8.1963
1995.807832,AMT1,295.6663333,-55.40775,-40.61961667,6.731666667,34.11165,365.8166667,340.2,8.1046
1995.808398,AMT1,295.87375,-55.36935,-41.557675,6.9125,34.0973,364.2,372.075,8.0705
1995.808857,AMT1,296.0415,-55.55245,-42.50395,7.2175,34.07555,361.95,362.475,8.0806
1995.809311,AMT1,296.20775,-55.75755,-43.434575,7.2525,34.07555,360.8,364.725,8.0783
1995.809823,AMT1,296.3954,-55.97682,-44.51884,9.072,34.34266,360.66,333.6,8.1145
1995.810335,AMT1,296.58275,-56.187775,-45.5599,10.725,34.5534,361.45,336.5,8.1129
1995.810846,AMT1,296.7698,-56.3623,-46.3886,8.052,34.19562,360.86,363.68,8.0806
1995.811417,AMT1,296.9788,-56.64886,-47.5305,7.914,34.20912,359.12,362.9,8.0814
1995.811931,AMT1,297.16675,-56.8744,-48.58375,6.9475,34.2842,359,363.75,8.0803
1995.812385,AMT1,297.33275,-57.077525,-49.487525,5.56,34.052425,357.55,293.575,8.1593
1995.812953,AMT1,297.5408333,-57.34276667,-50.54496667,5.373333333,34.01411667,356.5,300.9333333,8.1496
1995.813408,AMT1,297.7075,-57.50975,-51.30115,5.265,33.90035,356.05,306.2,8.1424
1996.73081,AMT3,268.2070909,-16.66418182,47.61236364,16.59163636,35.63138545,367.9618182,332.4054545,8.1225
1996.732165,AMT3,268.7047059,-18.66823529,46.49941176,17.10470588,35.67159412,362.4705882,324.6470588,8.1309
1996.732616,AMT3,268.87,-19.08076923,45.63615385,17.28461538,35.6561,363.6,323.9076923,8.1315
1996.733243,AMT3,269.1,-19.57157895,44.49842105,18.04105263,35.66437895,368.8631579,332.8421053,8.1212
1996.733786,AMT3,269.299375,-19.920625,43.545,18.58625,35.738575,368.16875,350.5125,8.1028
1996.734292,AMT3,269.485,-19.98,42.855,19.12625,35.7495,371.675,357.75,8.0951
1996.735213,AMT3,269.8233333,-20.02,41.40333333,20.10666667,35.9604,372.4833333,357.4,8.0959
1996.735892,AMT3,270.0725,-19.99,40.1925,20.77,36.1784,372.1,359.575,8.0945
1996.73622,AMT3,270.1927273,-19.99636364,39.57909091,21.08363636,36.16225455,370.8636364,366.5545455,8.0873
1996.736854,AMT3,270.4255556,-19.99888889,38.43888889,21.70555556,36.26063333,368.5222222,379.2111111,8.0752
1996.737493,AMT3,270.66,-20.15,37.68333333,22.32333333,36.53703333,367.5666667,389.4,8.0669
1996.738377,AMT3,270.9844444,-20.57888889,36.25888889,23.18555556,36.38215556,365.5111111,395.8888889,8.0591
1996.739482,AMT3,271.39,-21.11666667,34.49666667,23.64333333,36.57323333,365.1,399.2,8.0569
1996.740271,AMT3,271.6795,-21.3325,33.5065,24.1575,36.690235,369.855,391.46,8.0639
1996.740837,AMT3,271.8872222,-21.45722222,32.51777778,24.07,36.88938333,368.9111111,394.3833333,8.0627
1996.741368,AMT3,272.081875,-21.56,31.47875,23.919375,36.957525,367.79375,398.01875,8.0601
1996.741844,AMT3,272.256875,-21.664375,30.5725,24.2175,36.9862625,363.68125,396.65,8.0611
1996.742487,AMT3,272.4927778,-21.79611111,29.53166667,24.46388889,37.22173333,366.2111111,402.0555556,8.0576
1996.743179,AMT3,272.746875,-21.90375,28.565625,24.773125,37.23495625,363.3625,404.8625,8.0549
1996.743738,AMT3,272.9516667,-21.92611111,27.50777778,24.62555556,37.21691667,362.85,401,8.0583
1996.74428,AMT3,273.1507143,-21.72,26.43571429,24.65357143,37.3248,366.1642857,395.7642857,8.0636
1996.74475,AMT3,273.323125,-21.540625,25.4775,24.648125,37.23513125,370.0625,398.23125,8.0608
1996.745414,AMT3,273.567,-21.3635,24.5075,24.7775,37.045205,371.345,394.975,8.0623
1996.746041,AMT3,273.7970588,-21.18235294,23.53235294,24.8,36.75245882,363.2058824,390.1,8.0647
1996.746552,AMT3,273.9846667,-20.99733333,22.532,24.41333333,36.68419333,364.08,393.3266667,8.0619
1996.747064,AMT3,274.1723077,-20.80307692,21.50769231,24.13,36.37639231,362.0153846,398.7769231,8.0555
1996.747772,AMT3,274.4323077,-20.61884615,20.37653846,24.43730769,36.27401154,362.8807692,393.8346154,8.0588
1996.748828,AMT3,274.82,-20.48714286,19.53333333,25.51142857,36.34399524,359.6142857,385.452381,8.0654
1996.749487,AMT3,275.061875,-20.415,18.513125,26.665625,36.20340625,356.025,382.25625,8.0658
1996.750093,AMT3,275.284,-20.409,17.5435,27.375,36.15103,353.61,390.29,8.0572
1996.750754,AMT3,275.5268182,-20.40636364,16.49681818,27.65681818,35.96149091,371.0227273,397.7,8.0491
1996.751385,AMT3,275.7583333,-20.42,15.5,28.91277778,35.72385556,372.2,390.5777778,8.052
1996.752071,AMT3,276.01,-20.37058824,14.45764706,28.36294118,36.09894118,369.1647059,374.1764706,8.0698
1996.752738,AMT3,276.2547619,-20.37,13.48333333,28.60809524,35.58010476,362.2761905,381.3095238,8.0601
1996.753561,AMT3,276.5568,-20.6408,12.5416,28.8964,35.345824,364.136,392.3,8.0485
1996.754366,AMT3,276.8523077,-21.11884615,11.50961538,28.98884615,35.33547692,354.4076923,391.9923077,8.0486
1996.755022,AMT3,277.0931818,-21.60318182,10.48136364,28.345,35.23755455,358.95,385.8409091,8.0546
1996.755706,AMT3,277.3442308,-22.06846154,9.474230769,28.39884615,35.45426538,360.0653846,377.1,8.0636
1996.756558,AMT3,277.6569565,-22.50173913,8.525217391,28.87826087,35.54938261,363.5434783,388.1652174,8.0533
1996.757243,AMT3,277.9080952,-22.92714286,7.477142857,28.82047619,35.28579048,353.6714286,361.1380952,8.0769
1996.757809,AMT3,278.1157895,-23.34315789,6.537894737,28.63631579,34.92661579,357.8842105,346.4473684,8.0897
1996.758532,AMT3,278.3811538,-23.84461538,5.474615385,28.53230769,34.72333077,358.3769231,341.0346154,8.0943
1996.759371,AMT3,278.689,-24.3165,4.497,28.172,34.36778,351.395,339.285,8.0951
1996.760006,AMT3,278.9221739,-24.77043478,3.499130435,27.66782609,35.04834348,357.9608696,353.2217391,8.0853
1996.760651,AMT3,279.1590476,-25.22904762,2.502380952,27.44952381,35.68562381,365.0047619,374.5142857,8.0687
1996.761402,AMT3,279.4344,-25.7012,1.4548,26.9852,35.613512,368.164,383.672,8.0607
1996.762179,AMT3,279.7196,-26.1236,0.5072,27.246,35.767892,361.108,380.412,8.0641
1996.762845,AMT3,279.964,-26.543,-0.468,26.3565,35.99366,357.93,388.76,8.0591
1996.763581,AMT3,280.2341667,-27.03875,-1.523333333,26.34625,36.1064625,360.1916667,398.0708333,8.0515
1996.76437,AMT3,280.5236364,-27.50590909,-2.510454545,26.44454545,36.10131818,362.8681818,399.9863636,8.0497
1996.76506,AMT3,280.7768421,-27.91631579,-3.435263158,26.53368421,36.05743158,356.9315789,395.8736842,8.0529
